ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8067017	3.21e-03	1.79e-03	3.334588	-2.008254	0.57428	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
8012663	3.21e-03	1.79e-03	-3.334557	-2.008335	-0.358072	MYH8	myosin heavy chain 8
7984662	3.21e-03	1.79e-03	-3.334123	-2.009496	-0.435502	GOLGA6C///LOC645752///GOLGA6A///GOLGA6B	golgin A6 family member C///golgin A6 family member A pseudogene///golgin A6 family member A///golgin A6 family member B
8067221	3.22e-03	1.79e-03	-3.333825	-2.010294	-0.292018	ZBP1	Z-DNA binding protein 1
8100943	3.22e-03	1.79e-03	-3.333805	-2.010348	-0.231844	RASSF6	Ras association domain family member 6
8086255	3.22e-03	1.79e-03	-3.333734	-2.010539	-0.49363	SCN10A	sodium voltage-gated channel alpha subunit 10
8105384	3.22e-03	1.79e-03	-3.33363	-2.010816	-0.321978	DDX4	DEAD-box helicase 4
7938422	3.22e-03	1.79e-03	3.333508	-2.011143	0.460625	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component
8089759	3.23e-03	1.80e-03	3.332632	-2.013486	0.42811	TMEM39A	transmembrane protein 39A
8168650	3.23e-03	1.80e-03	-3.332057	-2.015024	-0.33241	PABPC5	poly(A) binding protein cytoplasmic 5
7905512	3.23e-03	1.80e-03	-3.331774	-2.015782	-0.330014	C1orf68	chromosome 1 open reading frame 68
8160088	3.23e-03	1.80e-03	3.331693	-2.015999	0.602845	MPDZ	multiple PDZ domain crumbs cell polarity complex component
8073152	3.23e-03	1.80e-03	-3.331647	-2.016121	-0.289293	CACNA1I	calcium voltage-gated channel subunit alpha1 I
7922353	3.24e-03	1.81e-03	-3.330654	-2.018776	-0.406101	SLC9C2	solute carrier family 9 member C2 (putative)
7898910	3.25e-03	1.81e-03	3.330289	-2.019752	0.330325	PNRC2	proline rich nuclear receptor coactivator 2
8167013	3.25e-03	1.81e-03	-3.330016	-2.020482	-0.381596	JADE3	jade family PHD finger 3
8169365	3.25e-03	1.81e-03	-3.329563	-2.021693	-0.30484	TMEM164	transmembrane protein 164
7941460	3.25e-03	1.81e-03	3.329317	-2.022351	0.492368	DRAP1	DR1 associated protein 1
7976101	3.27e-03	1.82e-03	3.327945	-2.026019	0.37082	ZC3H14	zinc finger CCCH-type containing 14
8018646	3.27e-03	1.82e-03	-3.327468	-2.027294	-0.275216	FOXJ1	forkhead box J1
8151561	3.27e-03	1.82e-03	3.32732	-2.027687	0.564217	ZFAND1	zinc finger AN1-type containing 1
8112746	3.28e-03	1.83e-03	3.325843	-2.031635	0.646875	WDR41	WD repeat domain 41
7952011	3.29e-03	1.83e-03	-3.325472	-2.032627	-0.363281	SCN2B	sodium voltage-gated channel beta subunit 2
8052916	3.29e-03	1.83e-03	-3.325415	-2.032779	-0.564145	CD207	CD207 molecule
7898998	3.29e-03	1.83e-03	-3.32524	-2.033245	-0.5383	RHD	Rh blood group D antigen
7999279	3.30e-03	1.84e-03	3.324602	-2.034951	0.293329	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
8096663	3.30e-03	1.84e-03	3.324381	-2.035541	0.429682	CISD2	CDGSH iron sulfur domain 2
8031358	3.30e-03	1.84e-03	-3.3238	-2.037093	-0.696102	KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5///killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
8135922	3.30e-03	1.84e-03	3.323489	-2.037923	0.325132	METTL2B	methyltransferase like 2B
7943297	3.31e-03	1.84e-03	3.323301	-2.038424	0.514374	CEP57	centrosomal protein 57
8112285	3.31e-03	1.84e-03	3.323257	-2.038541	0.294459	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit
7995772	3.31e-03	1.85e-03	-3.322986	-2.039266	-0.447629	MT4	metallothionein 4
7913835	3.31e-03	1.85e-03	-3.322481	-2.040614	-0.337376	RHCE	Rh blood group CcEe antigens
8159854	3.32e-03	1.85e-03	3.322187	-2.041398	0.600983	PUM3	pumilio RNA binding family member 3
8159971	3.32e-03	1.85e-03	-3.321784	-2.042474	-0.2181	INSL6	insulin like 6
8103728	3.32e-03	1.85e-03	3.321324	-2.043702	0.608046	HMGB2	high mobility group box 2
8099388	3.33e-03	1.86e-03	-3.320518	-2.045854	-0.28791	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
8104634	3.33e-03	1.86e-03	-3.320513	-2.045869	-0.608102	PRDM9	PR/SET domain 9
7903478	3.33e-03	1.86e-03	-3.320442	-2.046058	-0.770931	NBPF6///NBPF4	neuroblastoma breakpoint family member 6///neuroblastoma breakpoint family member 4
8141052	3.33e-03	1.86e-03	-3.320425	-2.046102	-0.475153	PON1	paraoxonase 1
8062852	3.33e-03	1.86e-03	-3.320167	-2.046793	-0.426316	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
7965789	3.34e-03	1.86e-03	3.3194	-2.048839	0.453301	ARL1	ADP ribosylation factor like GTPase 1
8135277	3.34e-03	1.87e-03	3.319183	-2.049417	0.410447	KMT2E	lysine methyltransferase 2E
8087182	3.34e-03	1.87e-03	3.31891	-2.050146	0.336798	NCKIPSD	NCK interacting protein with SH3 domain
7903079	3.34e-03	1.87e-03	3.318626	-2.050903	0.480456	DR1	down-regulator of transcription 1
8074106	3.35e-03	1.87e-03	-3.318484	-2.051283	-0.333666	KLHDC7B	kelch domain containing 7B
8144866	3.35e-03	1.87e-03	-3.318353	-2.051631	-0.337009	NAT2	N-acetyltransferase 2
7999304	3.35e-03	1.87e-03	3.317672	-2.053449	0.262679	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase
8005328	3.36e-03	1.88e-03	-3.317255	-2.054561	-0.254072	MYO15A	myosin XVA
8058221	3.36e-03	1.88e-03	3.316991	-2.055266	0.771729	TRAK2	trafficking kinesin protein 2
8049919	3.36e-03	1.88e-03	-3.316931	-2.055427	-0.259616	D2HGDH	D-2-hydroxyglutarate dehydrogenase
7950731	3.36e-03	1.88e-03	3.316825	-2.055709	0.610682	PRCP	prolylcarboxypeptidase
7940636	3.36e-03	1.88e-03	-3.316517	-2.056531	-0.633383	SCGB2A2	secretoglobin family 2A member 2
7959586	3.36e-03	1.88e-03	3.316221	-2.057318	0.20997	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35
7954419	3.36e-03	1.88e-03	3.316174	-2.057446	0.353052	ETNK1	ethanolamine kinase 1
8075493	3.37e-03	1.88e-03	3.316029	-2.057831	0.340474	PATZ1	POZ/BTB and AT hook containing zinc finger 1
7943226	3.37e-03	1.88e-03	-3.316026	-2.057839	-0.529413	IZUMO1R	IZUMO1 receptor, JUNO
8087100	3.37e-03	1.88e-03	3.316014	-2.05787	0.43717	UQCRC1	ubiquinol-cytochrome c reductase core protein I
8076387	3.37e-03	1.88e-03	-3.315526	-2.059174	-0.204596	TNFRSF13C	TNF receptor superfamily member 13C
7973098	3.37e-03	1.89e-03	-3.315392	-2.059529	-0.355549	EDDM3B	epididymal protein 3B
8156919	3.38e-03	1.89e-03	-3.314882	-2.06089	-0.563267	MURC	muscle related coiled-coil protein
8174283	3.38e-03	1.89e-03	-3.314691	-2.061399	-0.28849	H2BFWT	H2B histone family member W, testis specific
8029318	3.38e-03	1.89e-03	-3.314343	-2.062328	-0.425532	IRGC	immunity related GTPase cinema
7946812	3.38e-03	1.89e-03	3.313816	-2.063733	0.433028	RPS13	ribosomal protein S13
7928685	3.39e-03	1.90e-03	-3.313572	-2.064384	-0.315285	DYDC2	DPY30 domain containing 2
7994308	3.39e-03	1.90e-03	3.31336	-2.064947	0.303521	KIAA0556	KIAA0556
8061324	3.39e-03	1.90e-03	3.313347	-2.064982	0.61143	XRN2	5'-3' exoribonuclease 2
