GSE39645,MICALL2,1.095489,1.32E-12,1.24E-10,9.920576,Up
GSE39645,ZRSR2,1.29834,1.36E-12,1.26E-10,9.912609,Up
GSE39645,USP53,2.177652,1.4E-12,1.3E-10,9.901325,Up
GSE39645,SOX2,2.83679,1.51E-12,1.39E-10,9.876271,Up
GSE39645,DSG2,-2.003237,1.52E-12,1.39E-10,-9.874818,Down
GSE39645,SP100,1.192098,1.53E-12,1.39E-10,9.872398,Up
GSE39645,PPM1K///PPM1K,1.804777,1.53E-12,1.39E-10,9.872366,Up
GSE39645,PPFIA2,-1.115473,1.55E-12,1.39E-10,-9.869259,Down
GSE39645,TMEM140,1.244047,1.55E-12,1.39E-10,9.868576,Up
GSE39645,PARP9,1.49081,1.58E-12,1.41E-10,9.861802,Up
GSE39645,XKR4,1.920838,1.61E-12,1.43E-10,9.855122,Up
GSE39645,DRAM1,1.346616,1.75E-12,1.55E-10,9.828075,Up
GSE39645,EGFR,-2.066212,1.76E-12,1.55E-10,-9.826357,Down
GSE39645,ENTPD2,-0.953429,1.78E-12,1.56E-10,-9.822045,Down
GSE39645,COL12A1,2.218232,1.81E-12,1.57E-10,9.817856,Up
GSE39645,ASAP2,1.349864,1.83E-12,1.58E-10,9.814107,Up
GSE39645,WIPI1,1.494493,1.87E-12,1.61E-10,9.806238,Up
GSE39645,DPYD,1.177682,2.14E-12,1.83E-10,9.762121,Up
GSE39645,GALNT2,1.029906,2.18E-12,1.86E-10,9.755429,Up
GSE39645,DAG1,1.365159,2.2E-12,1.87E-10,9.751986,Up
GSE39645,DDX60,1.656597,2.28E-12,1.93E-10,9.740745,Up
GSE39645,PDE3A,-1.498039,2.31E-12,1.94E-10,-9.736803,Down
GSE39645,LIPE,-1.022719,2.32E-12,1.94E-10,-9.735041,Down
GSE39645,CYP2U1,1.480664,2.36E-12,1.96E-10,9.729939,Up
GSE39645,ITGB8,2.375093,2.41E-12,2E-10,9.722584,Up
GSE39645,RBPMS2,-0.856585,2.47E-12,2.04E-10,-9.714685,Down
GSE39645,LOXL3,1.348755,2.49E-12,2.05E-10,9.711452,Up
GSE39645,DPF3,-0.978043,2.5E-12,2.05E-10,-9.710002,Down
GSE39645,CAB39L,2.62243,2.54E-12,2.07E-10,9.705435,Up
GSE39645,CLMN,1.447308,2.58E-12,2.09E-10,9.700626,Up
GSE39645,AIG1,0.805058,2.61E-12,2.11E-10,9.696196,Up
GSE39645,PPP1R14A,1.797485,2.68E-12,2.15E-10,9.688165,Up
GSE39645,TSC22D1,1.203689,2.75E-12,2.2E-10,9.679269,Up
GSE39645,CXCL5,-0.874227,2.82E-12,2.24E-10,-9.671097,Down
GSE39645,HERC6,1.993478,2.84E-12,2.25E-10,9.668595,Up
GSE39645,VGLL3,2.046872,2.86E-12,2.26E-10,9.665991,Up
GSE39645,USP32,1.273285,2.94E-12,2.31E-10,9.656817,Up
GSE39645,SORCS3,1.930731,3.11E-12,2.43E-10,9.638346,Up
GSE39645,UNC93B1,1.253481,3.21E-12,2.5E-10,9.628433,Up
GSE39645,DTX3L,1.468029,3.31E-12,2.56E-10,9.61826,Up
GSE39645,AKIP1,1.087183,3.34E-12,2.57E-10,9.615649,Up
GSE39645,PHF11,1.46348,3.36E-12,2.58E-10,9.612902,Up
GSE39645,CYBB,2.001731,3.39E-12,2.59E-10,9.610021,Up
GSE39645,TLE1,1.655143,3.51E-12,2.67E-10,9.598945,Up
GSE39645,GULP1,2.123756,3.6E-12,2.73E-10,9.590507,Up
